s_d_bin lambda_cond_mean
-15.0 -109615.32077622712
-13.421052631578947 -79460.90798536442
-11.842105263157894 -87800.15542314116
-10.263157894736842 -85240.78876566543
-8.68421052631579 -82558.57264001922
-7.105263157894736 -89556.75392169076
-5.526315789473685 -85600.79040368256
-3.947368421052632 -83525.20570460086
-2.3684210526315788 -81422.05766182941
-0.7894736842105257 -76203.05437550633
0.7894736842105274 -80357.98226666042
2.3684210526315788 -93405.29329043021
3.94736842105263 -113175.71612626845
5.526315789473685 -120564.76016067629
7.105263157894736 -126578.67021614633
8.684210526315791 -139511.6766466188
10.263157894736842 -131565.62853847953
11.842105263157894 -135190.8380919063
13.421052631578949 -123849.28421804069
15.0 -105662.15468035056

-15.0 -82727.14394591506
-13.421052631578947 -95237.91332079015
-11.842105263157894 -102465.20085963275
-10.263157894736842 -90706.65053055213
-8.68421052631579 -112032.83065610647
-7.105263157894736 -107713.65722119091
-5.526315789473685 -90398.50101813854
-3.947368421052632 -100413.81934056245
-2.3684210526315788 -91824.52389308375
-0.7894736842105257 -86901.30981373905
0.7894736842105274 -86332.19865110368
2.3684210526315788 -91250.33131479613
3.94736842105263 -93479.1326664528
5.526315789473685 -94344.25666471069
7.105263157894736 -99117.95376827406
8.684210526315791 -90476.76215310453
10.263157894736842 -100056.00510501637
11.842105263157894 -104865.12585418897
13.421052631578949 -98799.45430072283
15.0 -109085.08474589851

-15.0 -89165.9117933694
-13.421052631578947 -149517.69872565116
-11.842105263157894 -133849.2996341517
-10.263157894736842 -126499.73366634677
-8.68421052631579 -120718.61940684954
-7.105263157894736 -117027.61848163357
-5.526315789473685 -112494.17556899476
-3.947368421052632 -102912.92366445133
-2.3684210526315788 -89663.55103493833
-0.7894736842105257 -76836.68063250551
0.7894736842105274 -71820.98167225493
2.3684210526315788 -68314.01657720194
3.94736842105263 -62279.81817193116
5.526315789473685 -65499.230340855276
7.105263157894736 -63092.74301194198
8.684210526315791 -73030.10609907561
10.263157894736842 -72962.54551018457
11.842105263157894 -78774.83721255734
13.421052631578949 -93355.42175724874
15.0 -80571.05678449232

-15.0 -130715.40823557694
-13.421052631578947 -89024.50053943822
-11.842105263157894 -179178.6353660831
-10.263157894736842 -120456.77689855227
-8.68421052631579 -124860.50567721463
-7.105263157894736 -107683.49012888962
-5.526315789473685 -104647.43583032757
-3.947368421052632 -102826.43485251577
-2.3684210526315788 -82288.55998473428
-0.7894736842105257 -74748.16299346139
0.7894736842105274 -63958.92672640448
2.3684210526315788 -62194.74339542984
3.94736842105263 -58629.382846939516
5.526315789473685 -57525.913538945526
7.105263157894736 -53334.34342858644
8.684210526315791 -52911.509557427366
10.263157894736842 -60654.58744391636
11.842105263157894 -60053.03715764408
13.421052631578949 -61269.07533732408
15.0 -55774.24830607784

-15.0 -83245.8917789784
-13.421052631578947 -80237.14424141591
-11.842105263157894 -66447.47061698162
-10.263157894736842 -88698.08166711267
-8.68421052631579 -80784.5638782929
-7.105263157894736 -91025.27274718141
-5.526315789473685 -92781.50538015168
-3.947368421052632 -88566.564123701
-2.3684210526315788 -77388.27509574413
-0.7894736842105257 -68099.6719622908
0.7894736842105274 -60236.32607704836
2.3684210526315788 -58765.674502615475
3.94736842105263 -58918.88934256096
5.526315789473685 -58348.00829323773
7.105263157894736 -57838.12450575845
8.684210526315791 -57026.45894332855
10.263157894736842 -57808.47415349992
11.842105263157894 -58490.989695003234
13.421052631578949 -57893.34884213763
15.0 -62247.308011962305

