lambda_bin lambda_pdf
-989898.9898989899 0.0
-969696.9696969697 0.0
-949494.9494949495 0.0
-929292.9292929294 0.0
-909090.9090909091 0.0
-888888.8888888889 0.0
-868686.8686868687 0.0
-848484.8484848485 0.0
-828282.8282828282 0.0
-808080.808080808 0.0
-787878.7878787878 0.0
-767676.7676767677 0.0
-747474.7474747475 0.0
-727272.7272727273 0.0
-707070.7070707071 0.0
-686868.6868686869 0.0
-666666.6666666667 0.0
-646464.6464646466 0.0
-626262.6262626263 0.0
-606060.6060606061 0.0
-585858.5858585858 0.0
-565656.5656565656 0.0
-545454.5454545454 0.0
-525252.5252525252 0.0
-505050.50505050505 0.0
-484848.48484848486 0.0
-464646.4646464647 0.0
-444444.4444444445 0.0
-424242.42424242425 0.0
-404040.404040404 0.0
-383838.38383838383 0.0
-363636.36363636365 0.0
-343434.34343434346 0.0
-323232.3232323233 0.0
-303030.3030303031 0.0
-282828.28282828286 0.0
-262626.2626262626 0.0
-242424.24242424243 0.0
-222222.22222222225 0.0
-202020.20202020206 0.0
-181818.18181818188 0.0
-161616.16161616164 0.0
-141414.1414141414 0.0
-121212.12121212122 0.0
-101010.10101010103 0.0
-80808.08080808085 0.0
-60606.060606060666 0.0
-40404.040404040425 0.0
-20202.020202020183 0.0
0.0 0.0
20202.020202020183 0.0
40404.04040404037 0.0
60606.06060606055 0.0
80808.08080808073 2.5160601664861593e-09
101010.10101010092 5.225663422702023e-09
121212.1212121211 1.3354473191349613e-08
141414.14141414128 3.483775615134682e-08
161616.16161616158 1.0664224244106598e-07
181818.18181818188 2.891533760561786e-07
202020.20202020206 6.506918676712666e-07
222222.22222222225 1.097969948036614e-06
242424.24242424243 1.4953139112516974e-06
262626.2626262626 1.9183991054008314e-06
282828.2828282828 2.2414225221597085e-06
303030.303030303 2.5656071974569635e-06
323232.32323232316 2.694313352127217e-06
343434.34343434335 2.7972782758634196e-06
363636.36363636353 2.8276645409509835e-06
383838.3838383837 2.9428226793401576e-06
404040.4040404039 2.9037269752147575e-06
424242.4242424242 2.897146510163914e-06
444444.4444444445 2.7450216416363996e-06
464646.4646464647 2.643798605707764e-06
484848.48484848486 2.5150924510375105e-06
505050.50505050505 2.280131140105649e-06
525252.5252525252 2.0157512795348727e-06
545454.5454545454 1.7643388059759868e-06
565656.5656565656 1.5671183975414177e-06
585858.5858585858 1.3745430232603617e-06
606060.606060606 1.1786774164539009e-06
626262.6262626261 9.284262014333927e-07
646464.6464646463 7.644952044323329e-07
666666.6666666665 5.982416903545168e-07
686868.6868686868 4.6547113079993407e-07
707070.7070707071 3.4063583792428e-07
727272.7272727273 2.543156199048318e-07
747474.7474747475 1.8038215962808465e-07
767676.7676767677 1.2580300832430796e-07
787878.7878787878 8.748147655782646e-08
808080.808080808 6.522402123891043e-08
828282.8282828282 4.025696266377855e-08
848484.8484848484 2.4967058575131887e-08
868686.8686868686 1.8773679703781342e-08
888888.8888888888 9.483611396755522e-09
909090.909090909 9.290068307025818e-09
929292.9292929292 5.419206512431665e-09
949494.9494949495 5.419206512431728e-09
969696.9696969697 3.87086179459409e-09
989898.9898989899 3.483775615134682e-09

-989898.9898989899 0.0
-969696.9696969697 0.0
-949494.9494949495 0.0
-929292.9292929294 0.0
-909090.9090909091 0.0
-888888.8888888889 0.0
-868686.8686868687 0.0
-848484.8484848485 0.0
-828282.8282828282 0.0
-808080.808080808 0.0
-787878.7878787878 0.0
-767676.7676767677 0.0
-747474.7474747475 0.0
-727272.7272727273 0.0
-707070.7070707071 0.0
-686868.6868686869 0.0
-666666.6666666667 0.0
-646464.6464646466 0.0
-626262.6262626263 0.0
-606060.6060606061 0.0
-585858.5858585858 0.0
-565656.5656565656 0.0
-545454.5454545454 0.0
-525252.5252525252 0.0
-505050.50505050505 0.0
-484848.48484848486 0.0
-464646.4646464647 0.0
-444444.4444444445 0.0
-424242.42424242425 0.0
-404040.404040404 0.0
-383838.38383838383 0.0
-363636.36363636365 0.0
-343434.34343434346 0.0
-323232.3232323233 0.0
-303030.3030303031 0.0
-282828.28282828286 0.0
-262626.2626262626 0.0
-242424.24242424243 0.0
-222222.22222222225 0.0
-202020.20202020206 0.0
-181818.18181818188 0.0
-161616.16161616164 0.0
-141414.1414141414 0.0
-121212.12121212122 0.0
-101010.10101010103 0.0
-80808.08080808085 0.0
-60606.060606060666 0.0
-40404.040404040425 0.0
-20202.020202020183 0.0
0.0 0.0
20202.020202020183 5.66264371103358e-10
40404.04040404037 8.493965566550371e-10
60606.06060606055 1.4439741463135632e-08
80808.08080808073 5.5777040553680764e-08
101010.10101010092 2.7237316250071525e-07
121212.1212121211 7.992821598123899e-07
141414.14141414128 1.6925642052279372e-06
161616.16161616158 2.6150088657552775e-06
181818.18181818188 3.418254876165421e-06
202020.20202020206 4.115609449179206e-06
222222.22222222225 4.3622175827947185e-06
242424.24242424243 4.462446376480013e-06
262626.2626262626 4.555879997712068e-06
282828.2828282828 4.199982840473607e-06
303030.303030303 3.769338786249503e-06
323232.32323232316 3.309815249099128e-06
343434.34343434335 2.868978436195164e-06
363636.36363636353 2.4360693244866462e-06
383838.3838383837 1.9303952410913476e-06
404040.4040404039 1.460678945261112e-06
424242.4242424242 1.000872275925174e-06
444444.4444444445 7.168906938168513e-07
464646.4646464647 4.688668992735805e-07
484848.48484848486 3.134273294057087e-07
505050.50505050505 2.1121661042155257e-07
525252.5252525252 1.6421666761997383e-07
545454.5454545454 1.0192758679860445e-07
565656.5656565656 6.172281645026604e-08
585858.5858585858 4.5301149688268646e-08
606060.606060606 3.1144540410684696e-08
626262.6262626261 1.5572270205342348e-08
646464.6464646463 1.3024080535377235e-08
666666.6666666665 7.644569009895335e-09
686868.6868686868 3.3975862266201094e-09
707070.7070707071 1.4156609277583952e-09
727272.7272727273 5.66264371103358e-10
747474.7474747475 2.83132185551679e-10
767676.7676767677 1.132528742206716e-09
787878.7878787878 2.83132185551679e-10
808080.808080808 0.0
828282.8282828282 2.83132185551679e-10
848484.8484848484 2.83132185551679e-10
868686.8686868686 0.0
888888.8888888888 0.0
909090.909090909 0.0
929292.9292929292 0.0
949494.9494949495 0.0
969696.9696969697 0.0
989898.9898989899 0.0

-989898.9898989899 0.0
-969696.9696969697 0.0
-949494.9494949495 0.0
-929292.9292929294 0.0
-909090.9090909091 0.0
-888888.8888888889 0.0
-868686.8686868687 0.0
-848484.8484848485 0.0
-828282.8282828282 0.0
-808080.808080808 0.0
-787878.7878787878 0.0
-767676.7676767677 0.0
-747474.7474747475 0.0
-727272.7272727273 0.0
-707070.7070707071 0.0
-686868.6868686869 0.0
-666666.6666666667 0.0
-646464.6464646466 0.0
-626262.6262626263 0.0
-606060.6060606061 0.0
-585858.5858585858 0.0
-565656.5656565656 0.0
-545454.5454545454 0.0
-525252.5252525252 0.0
-505050.50505050505 0.0
-484848.48484848486 0.0
-464646.4646464647 0.0
-444444.4444444445 0.0
-424242.42424242425 0.0
-404040.404040404 0.0
-383838.38383838383 0.0
-363636.36363636365 0.0
-343434.34343434346 0.0
-323232.3232323233 0.0
-303030.3030303031 0.0
