s_d_bin lambda_cond_mean
-15.0 -99232.18204665344
-14.696969696969697 -100625.61492459648
-14.393939393939394 -100534.23471423835
-14.09090909090909 -98757.26750187424
-13.787878787878787 -101067.41682644293
-13.484848484848484 -97870.64046581625
-13.181818181818182 -97434.42365393255
-12.878787878787879 -99451.98368179408
-12.575757575757576 -93028.13311510877
-12.272727272727273 -99300.170727774
-11.969696969696969 -97734.52116875444
-11.666666666666666 -96859.21441892795
-11.363636363636363 -98588.33206257843
-11.06060606060606 -94372.08151343396
-10.757575757575758 -94073.70708450781
-10.454545454545453 -93744.72082501503
-10.151515151515152 -92434.50241534
-9.848484848484848 -93440.8084353521
-9.545454545454545 -91761.03479679253
-9.242424242424242 -92421.45995591102
-8.93939393939394 -94273.83370028403
-8.636363636363637 -92770.44577028464
-8.333333333333332 -91633.07572993763
-8.030303030303031 -92639.3181152008
-7.727272727272727 -91089.45776220641
-7.424242424242424 -93907.86182922928
-7.121212121212121 -91953.88477078729
-6.818181818181818 -92142.32504636081
-6.515151515151516 -90909.29553286229
-6.212121212121211 -91280.7434610673
-5.909090909090908 -90888.3108176778
-5.6060606060606055 -91717.56311263597
-5.303030303030303 -88708.28633940373
-5.0 -87599.71654702027
-4.696969696969697 -88978.41312491873
-4.3939393939393945 -87475.89955488725
-4.09090909090909 -86860.62039971107
-3.787878787878787 -86478.15547936023
-3.4848484848484844 -85155.87682465698
-3.1818181818181817 -84403.89666964623
-2.878787878787879 -82720.53284587078
-2.575757575757576 -82844.95253036541
-2.2727272727272716 -83034.90710133997
-1.9696969696969688 -82796.86640532607
-1.666666666666666 -82552.60145063743
-1.3636363636363633 -82694.27485904434
-1.0606060606060606 -82616.44211188724
-0.7575757575757578 -83409.61535055959
-0.45454545454545325 -84315.59720687747
-0.1515151515151505 -84087.01147175966
0.15151515151515227 -83750.417439695
0.45454545454545503 -82769.73281167218
0.7575757575757578 -82164.15785887257
1.0606060606060623 -80414.67383663649
1.3636363636363633 -78842.41596911689
1.6666666666666679 -77808.04991669711
1.9696969696969688 -77927.1239345819
2.2727272727272734 -79537.43709238691
2.575757575757578 -81363.39893550042
2.878787878787879 -83858.69564740504
3.1818181818181834 -86407.08274808347
3.4848484848484844 -89878.94839094189
3.787878787878789 -93235.26485623584
4.09090909090909 -96066.15098975398
4.3939393939393945 -98629.11439469538
4.696969696969699 -101072.79851096534
5.0 -103893.37578002975
5.3030303030303045 -105548.5220842067
5.6060606060606055 -107295.03503377491
5.90909090909091 -109052.17153923413
6.212121212121211 -110276.30550739859
6.515151515151516 -110091.73255197253
6.81818181818182 -113202.84222497819
7.121212121212121 -114104.56180770008
7.424242424242426 -115192.79626552455
7.727272727272727 -115300.5627716443
8.030303030303031 -116305.68878717099
8.333333333333336 -116846.8914154711
8.636363636363637 -116658.78274878323
8.939393939393941 -117575.2592181471
9.242424242424242 -118874.29691727179
9.545454545454547 -118154.0589007939
9.848484848484848 -116228.37782673602
10.151515151515152 -116762.41135954842
10.454545454545457 -117947.01757272791
10.757575757575758 -119146.79486577013
11.060606060606062 -117614.13466987552
11.363636363636363 -118757.48012279003
11.666666666666668 -118536.81069207711
11.969696969696969 -118157.88166099235
12.272727272727273 -117811.92413424677
12.575757575757578 -120047.30771570852
12.878787878787879 -117610.9372707132
13.181818181818183 -116706.69162275337
13.484848484848484 -117972.55093145944
13.787878787878789 -117919.64012927144
14.090909090909093 -119284.78960099467
14.393939393939394 -118394.46173996107
14.696969696969699 -118129.8124188468
15.0 -116918.1923616296

-15.0 -116674.06261509577
-14.696969696969697 -115578.76582538434
-14.393939393939394 -118842.47012054127
-14.09090909090909 -112734.34016710521
-13.787878787878787 -115805.64329266139
-13.484848484848484 -122961.07379612458
-13.181818181818182 -115405.29734971709
-12.878787878787879 -113297.65961757032
-12.575757575757576 -121361.2546783346
-12.272727272727273 -117283.64822547205
-11.969696969696969 -120790.9550370052
