s_d_bin lambda_cond_mean
-15.0 20151.02285533078
-13.421052631578947 24336.56752162591
-11.842105263157894 21505.623227325184
-10.263157894736842 21280.293118437596
-8.68421052631579 21921.045787638788
-7.105263157894736 16989.743271220086
-5.526315789473685 14162.343009232074
-3.947368421052632 14448.978302954236
-2.3684210526315788 14282.124499222302
-0.7894736842105257 12763.904532807588
0.7894736842105274 14292.082233727899
2.3684210526315788 16906.984241375485
3.94736842105263 20736.947007859184
5.526315789473685 24045.16336247881
7.105263157894736 27120.642677824846
8.684210526315791 28665.5946333721
10.263157894736842 29501.3733004634
11.842105263157894 30374.912012158813
13.421052631578949 31054.44069388596
15.0 31803.49511128798

-15.0 7072.7698405642
-13.421052631578947 17525.97622588065
-11.842105263157894 24873.24071932409
-10.263157894736842 11313.707337453638
-8.68421052631579 17707.89168408411
-7.105263157894736 13504.086469496955
-5.526315789473685 14193.121178031392
-3.947368421052632 13421.187319157907
-2.3684210526315788 14643.163750904061
-0.7894736842105257 14444.4681026268
0.7894736842105274 14239.986810409155
2.3684210526315788 17961.88159409447
3.94736842105263 19776.39657465151
5.526315789473685 22561.871824794358
7.105263157894736 25120.023168696873
8.684210526315791 23061.57560429422
10.263157894736842 21115.322110801015
11.842105263157894 23369.067248671876
13.421052631578949 31644.41367754758
15.0 27087.53315615126

-15.0 18256.739660603485
-13.421052631578947 15476.327745219565
-11.842105263157894 15864.86706726295
-10.263157894736842 13376.274073934568
-8.68421052631579 9208.850833049595
-7.105263157894736 8127.124851322751
-5.526315789473685 11832.337480942007
-3.947368421052632 10805.735467146318
-2.3684210526315788 8465.24625774658
-0.7894736842105257 13377.132391271272
0.7894736842105274 10609.142188768383
2.3684210526315788 16208.021508438875
3.94736842105263 15054.8841421598
5.526315789473685 18956.32537226324
7.105263157894736 21399.095882567144
8.684210526315791 24715.829933596186
10.263157894736842 23764.72581550827
11.842105263157894 29575.692848829716
13.421052631578949 27208.821127270403
15.0 31826.784411477944

-15.0 19633.705566520402
-13.421052631578947 18234.63727323198
-11.842105263157894 12109.30333816998
-10.263157894736842 11409.233195589852
-8.68421052631579 7438.278381188657
-7.105263157894736 7237.79854723313
-5.526315789473685 6876.6396188113185
-3.947368421052632 7750.0330457215205
-2.3684210526315788 9847.803374351815
-0.7894736842105257 10947.454890929223
0.7894736842105274 10307.231407560424
2.3684210526315788 11763.093374475045
3.94736842105263 15673.562717575373
5.526315789473685 16054.151654063704
7.105263157894736 19437.762728754602
8.684210526315791 25139.617512583158
10.263157894736842 24512.70590407133
11.842105263157894 21868.24854624586
13.421052631578949 24143.23107177261
15.0 27292.30513245363

-15.0 11540.318114768499
-13.421052631578947 5996.746043510219
-11.842105263157894 8023.531001860223
-10.263157894736842 7250.010199929434
-8.68421052631579 6643.634254363802
-7.105263157894736 6009.477993401931
-5.526315789473685 4568.970833687932
-3.947368421052632 5541.927099676452
-2.3684210526315788 6840.519767084852
-0.7894736842105257 7421.501144026945
0.7894736842105274 9542.27086860999
2.3684210526315788 10828.6609562775
3.94736842105263 11702.001565486822
5.526315789473685 12459.954040021425
7.105263157894736 12419.54587452476
8.684210526315791 11872.874200273658
10.263157894736842 12959.863937744456
11.842105263157894 13117.84957220773
13.421052631578949 11104.718411862505
15.0 12037.3083284659

